	ParticipantId	PointClick_task_time_	PointClick_mouse_dist_	PointClick_speed_mean_	PointClick_speed_sd_	PointClick_pos_accel_mean	PointClick_pos_accel_sd	PointClick_neg_accel_mean	PointClick_neg_accel_sd	PointClick_pos_jerk_mean	PointClick_pos_jerk_sd	PointClick_neg_jerk_mean	PointClick_neg_jerk_sd	PointClick_pos_snap_mean	PointClick_pos_snap_sd	PointClick_neg_snap_mean	PointClick_neg_snap_sd	PointClick_angle_mean_	PointClick_angle_sd_	PointClick_x_flips_	PointClick_y_flips_	PointClick_total_dev_ideal_line_	PointClick_mean_dev_ideal_line_	PointClick_sd_dev_ideal_line_	PointClick_num_trials	DragDrop_task_time_	DragDrop_mouse_dist_	DragDrop_speed_mean_	DragDrop_speed_sd_	DragDrop_pos_accel_mean	DragDrop_pos_accel_sd	DragDrop_neg_accel_mean	DragDrop_neg_accel_sd	DragDrop_pos_jerk_mean	DragDrop_pos_jerk_sd	DragDrop_neg_jerk_mean	DragDrop_neg_jerk_sd	DragDrop_pos_snap_mean	DragDrop_pos_snap_sd	DragDrop_neg_snap_mean	DragDrop_neg_snap_sd	DragDrop_angle_mean_	DragDrop_angle_sd_	DragDrop_x_flips_	DragDrop_y_flips_	DragDrop_total_dev_ideal_line_	DragDrop_mean_dev_ideal_line_	DragDrop_sd_dev_ideal_line_	DragDrop_num_trials	DragDrop_num_drags	Drawing_task_time_	Drawing_mouse_dist_	Drawing_speed_mean_	Drawing_speed_sd_	Drawing_pos_accel_mean	Drawing_pos_accel_sd	Drawing_neg_accel_mean	Drawing_neg_accel_sd	Drawing_pos_jerk_mean	Drawing_pos_jerk_sd	Drawing_neg_jerk_mean	Drawing_neg_jerk_sd	Drawing_pos_snap_mean	Drawing_pos_snap_sd	Drawing_neg_snap_mean	Drawing_neg_snap_sd	Drawing_angle_mean_	Drawing_angle_sd_	Drawing_x_flips_	Drawing_y_flips_	Drawing_total_dev_ideal_line_	Drawing_mean_dev_ideal_line_	Drawing_sd_dev_ideal_line_	Drawing_num_drawings	Drawing_par_index	condition	FollowBox_mouse_dist_	FollowBox_speed_mean_	FollowBox_speed_sd_	FollowBox_pos_accel_mean	FollowBox_pos_accel_sd	FollowBox_neg_accel_mean	FollowBox_neg_accel_sd	FollowBox_pos_jerk_mean	FollowBox_pos_jerk_sd	FollowBox_neg_jerk_mean	FollowBox_neg_jerk_sd	FollowBox_pos_snap_mean	FollowBox_pos_snap_sd	FollowBox_neg_snap_mean	FollowBox_neg_snap_sd	FollowBox_angle_mean_	FollowBox_angle_sd_	FollowBox_x_flips_	FollowBox_y_flips_	FollowBox_in_box_ratio	LoadingTask_mouse_dist_	LoadingTask_speed_mean_	LoadingTask_speed_sd_	LoadingTask_pos_accel_mean	LoadingTask_pos_accel_sd	LoadingTask_neg_accel_mean	LoadingTask_neg_accel_sd	LoadingTask_pos_jerk_mean	LoadingTask_pos_jerk_sd	LoadingTask_neg_jerk_mean	LoadingTask_neg_jerk_sd	LoadingTask_pos_snap_mean	LoadingTask_pos_snap_sd	LoadingTask_neg_snap_mean	LoadingTask_neg_snap_sd	LoadingTask_angle_mean_	LoadingTask_angle_sd_	LoadingTask_x_flips_	LoadingTask_y_flips_	LoadingTask_movement	PatternTyping_Writing_time_mean	PatternTyping_Writing_time_sd	PatternTyping_Chars_tpd_mean	PatternTyping_Chars_tpd_sd	PatternTyping_Time_p_Keystr_mean	PatternTyping_Time_p_Keystr_sd	PatternTyping_Time_p_keystr_no_Bcksp_mean	PatternTyping_Time_p_keystr_no_Bcksp_sd	PatternTyping_Corr_time_mean	PatternTyping_Corr_time_sd	PatternTyping_time_spent_corr_mean	PatternTyping_time_spent_corr_sd	PatternTyping_Bckspce_presses_mean	PatternTyping_Bckspce_presses_sd	PatternTyping_Dwelltime_Mean_mean	PatternTyping_Dwelltime_Mean_sd	PatternTyping_Dwelltime_Median_mean	PatternTyping_Dwelltime_Median_sd	PatternTyping_Dwelltime_SD_mean	PatternTyping_Dwelltime_SD_sd	PatternTyping_1_keyspushed_mean	PatternTyping_1_keyspushed_sd	PatternTyping_0_keyspushed_mean	PatternTyping_0_keyspushed_sd	PatternTyping_Latency_mean_mean	PatternTyping_Latency_mean_sd	PatternTyping_Latency_median_mean	PatternTyping_Latency_median_sd	PatternTyping_latency_std_mean	PatternTyping_latency_std_sd	PatternTyping_down_down_mean_mean	PatternTyping_down_down_mean_sd	PatternTyping_down_down_median_mean	PatternTyping_down_down_median_sd	PatternTyping_down_down_sd_mean	PatternTyping_down_down_sd_sd	PatternTyping_up_up_mean_mean	PatternTyping_up_up_mean_sd	PatternTyping_up_up_median_mean	PatternTyping_up_up_median_sd	PatternTyping_up_up_sd_mean	PatternTyping_up_up_sd_sd	PatternTyping_writing_trials	PatternTyping_incomplete_trials
0	3CDPvCyqw2gjLuL0axmSpWW50mM2_HS	28335.0	8870.33	313.052	605.159	6.493	15.172	-6.007	14.446	0.046	0.113	-0.045	0.101	0.404	0.791	-0.514	1.293	7.831	19.183	50.0	31.0	20756.574	13.558	15.733	25.0	52155.0	29701.038	569.476	999.83	9.84	19.626	-9.24	19.098	0.067	0.148	-0.067	0.139	0.582	1.048	-0.73	1.652	7.106	17.183	54.0	61.0	79651.408	35.479	67.219	14.0	20.0	24225.0	8578.902	354.134	702.728	5.172	12.192	-5.115	12.303	0.046	0.098	-0.046	0.097	0.401	0.772	-0.456	1.014	6.792	18.147	27.0	22.0	9049.648	11.256	12.896	11.0	1.0	0.0	9174.061	294.607	240.72	4.734	6.017	-5.064	5.891	0.046	0.058	-0.045	0.059	0.391	0.421	-0.44	0.604	2.669	11.8	12.0	18.0	0.671	1559.886	438.787	1054.139	10.846	32.975	-9.918	28.582	0.067	0.176	-0.062	0.169	0.722	1.849	-0.716	2.073	4.749	16.491	4.0	4.0	1.0	3.567	0.937	6.0	0.0	0.594	0.156	0.594	0.156	0.0	0.0	0.0	0.0	0.0	0.0	100.429	22.569	94.714	21.452	31.004	15.427	0.147	0.037	0.853	0.037	612.943	183.107	568.0	284.113	356.331	60.116	713.371	187.497	692.857	319.981	352.16	63.725	794.0	224.223	801.214	247.362	334.751	76.474	7.0	0.0
1	3CDPvCyqw2gjLuL0axmSpWW50mM2_LS	28215.0	9066.058	321.32	505.23	5.785	11.859	-5.442	10.045	0.046	0.093	-0.046	0.097	0.396	0.678	-0.473	1.052	7.489	17.972	40.0	33.0	20438.523	14.164	16.181	25.0	56250.0	32745.306	582.139	1014.31	10.654	23.831	-9.728	21.055	0.079	0.18	-0.081	0.188	0.687	1.349	-0.878	2.07	7.673	16.966	72.0	67.0	52340.679	23.325	35.304	14.0	22.0	24660.0	6940.325	281.441	435.412	3.887	8.645	-3.641	8.223	0.036	0.079	-0.036	0.072	0.315	0.577	-0.35	0.818	5.365	15.317	19.0	24.0	9093.207	9.971	10.827	11.0	1.0	1.0	9257.328	297.568	211.873	4.951	5.53	-4.856	5.355	0.046	0.054	-0.047	0.055	0.391	0.4	-0.461	0.563	3.15	12.255	9.0	31.0	0.715																					3.247	1.377	6.0	0.0	0.541	0.229	0.541	0.229	0.0	0.0	0.0	0.0	0.0	0.0	109.421	30.215	108.143	33.93	24.654	10.585	0.202	0.102	0.798	0.102	503.807	180.508	436.786	182.475	329.25	91.415	599.514	180.799	541.0	179.887	324.371	87.197	714.1	235.757	754.357	306.472	348.951	126.613	7.0	0.0
2	3zg64WrP4VZVeHHLCrapRRjTeg72_HS	23730.0	9146.719	385.45	621.372	7.948	14.337	-7.331	13.502	0.056	0.1	-0.055	0.099	0.478	0.736	-0.595	1.205	9.307	19.911	44.0	32.0	14579.995	11.087	13.898	25.0	37230.0	23144.902	621.673	880.813	10.76	20.714	-9.832	18.361	0.081	0.167	-0.08	0.169	0.686	1.191	-0.908	1.902	7.529	17.044	39.0	42.0	24196.676	13.874	14.572	14.0	18.0	29295.0	7096.002	242.226	272.18	4.024	6.154	-3.873	5.463	0.04	0.057	-0.041	0.058	0.341	0.443	-0.393	0.569	7.142	16.003	23.0	20.0	6763.779	4.866	4.403	11.0	2.0	0.0	9033.643	290.098	217.963	6.036	6.462	-5.777	6.555	0.047	0.052	-0.049	0.053	0.434	0.43	-0.522	0.566	2.767	11.668	9.0	20.0	0.753	155.643	35.055	107.858	0.624	2.526	-0.63	2.005	0.006	0.018	-0.006	0.021	0.058	0.166	-0.057	0.199	2.061	5.931	0.0	0.0	1.0	2.936	0.481	6.0	0.0	0.489	0.08	0.489	0.08	0.0	0.0	0.0	0.0	0.0	0.0	85.429	13.835	88.0	14.273	16.355	5.359	0.151	0.041	0.849	0.041	501.743	100.396	381.714	112.162	312.863	162.071	587.171	96.216	467.714	99.408	317.82	157.52	620.25	131.993	518.143	78.526	336.33	168.011	7.0	0.0
3	3zg64WrP4VZVeHHLCrapRRjTeg72_LS	24825.0	8818.612	355.231	566.085	6.666	12.436	-6.58	12.012	0.049	0.093	-0.05	0.095	0.425	0.674	-0.529	1.107	8.149	18.222	39.0	31.0	17916.7	13.471	16.228	25.0	35550.0	24326.783	684.298	1035.891	11.739	21.08	-11.19	20.668	0.086	0.185	-0.083	0.173	0.71	1.158	-0.951	2.089	7.675	17.198	43.0	42.0	22942.106	14.153	16.507	14.0	18.0	23775.0	7299.622	307.029	504.631	4.903	9.098	-4.668	8.194	0.043	0.083	-0.044	0.086	0.364	0.598	-0.443	0.892	7.628	18.028	27.0	28.0	8289.876	9.753	9.236	11.0	2.0	1.0	8808.008	283.261	216.862	6.188	6.495	-6.017	6.474	0.047	0.054	-0.046	0.053	0.42	0.417	-0.527	0.597	2.922	12.102	9.0	24.0	0.673																				0.0	3.027	0.542	6.0	0.0	0.505	0.09	0.505	0.09	0.0	0.0	0.0	0.0	0.0	0.0	84.486	7.577	85.0	6.969	16.687	4.863	0.143	0.023	0.857	0.023	521.0	104.92	492.571	169.403	294.243	42.573	605.486	108.356	580.429	181.108	298.983	41.075	614.143	125.181	533.143	134.106	312.454	47.548	7.0	0.0
4	4DbjxSM6kiOhBN0SiBOPf3rUouU2_HS	24330.0	10340.575	425.013	744.906	8.952	18.342	-8.868	18.559	0.067	0.137	-0.065	0.128	0.587	0.978	-0.751	1.653	8.818	20.86	49.0	46.0	19509.508	16.353	17.319	25.0	40170.0	26735.376	665.556	1137.213	11.485	21.194	-10.809	20.768	0.075	0.145	-0.078	0.149	0.66	1.087	-0.823	1.639	7.44	16.849	56.0	41.0	26285.306	16.732	35.273	14.0	19.0	23940.0	10559.549	441.084	801.384	6.966	14.935	-6.625	15.853	0.054	0.117	-0.053	0.105	0.458	0.815	-0.557	1.29	7.07	20.68	32.0	29.0	8078.268	10.098	12.241	11.0	3.0	0.0	8642.432	277.936	222.294	4.914	5.329	-4.83	5.203	0.042	0.047	-0.041	0.048	0.353	0.352	-0.437	0.501	3.328	12.314	8.0	25.0	0.648	323.92	322.309	289.303	7.271	7.422	-5.567	5.778	0.043	0.032	-0.046	0.042	0.44	0.353	-0.479	0.395	8.573	10.816	2.0	1.0	1.0	3.211	0.626	6.0	0.0	0.535	0.104	0.535	0.104	0.0	0.0	0.0	0.0	0.0	0.0	73.257	5.144	74.286	5.417	5.999	1.99	0.118	0.023	0.882	0.023	569.029	123.651	471.0	118.047	328.794	153.817	642.286	125.155	546.714	120.408	330.509	152.228	695.429	140.536	642.429	97.033	339.057	179.582	7.0	0.0
5	4DbjxSM6kiOhBN0SiBOPf3rUouU2_LS	26550.0	10678.411	402.2	647.156	8.19	17.958	-7.676	16.886	0.062	0.15	-0.062	0.143	0.531	1.05	-0.678	1.723	7.841	16.681	47.0	42.0	28640.778	20.906	25.756	25.0	43080.0	24493.255	568.553	885.158	9.037	17.827	-8.254	14.959	0.069	0.129	-0.068	0.136	0.582	1.001	-0.675	1.393	7.529	18.472	47.0	45.0	31235.917	15.832	38.068	14.0	16.0	33720.0	9093.78	269.685	360.175	4.326	7.833	-4.401	7.741	0.043	0.061	-0.044	0.067	0.364	0.529	-0.413	0.636	7.3	17.207	31.0	30.0	7239.04	5.382	5.954	11.0	3.0	1.0	8835.605	284.149	241.912	4.915	6.317	-5.014	6.05	0.047	0.059	-0.045	0.057	0.381	0.414	-0.462	0.611	3.034	12.004	9.0	33.0	0.702	183.44	167.525	157.425	3.26	4.459	-2.53	3.068	0.027	0.023	-0.028	0.036	0.23	0.249	-0.293	0.322	7.265	8.459	2.0	1.0	1.0	3.134	0.52	6.0	0.0	0.522	0.087	0.522	0.087	0.0	0.0	0.0	0.0	0.0	0.0	70.914	3.919	71.143	5.222	6.891	2.7	0.116	0.021	0.884	0.021	555.857	104.628	572.0	136.882	224.139	57.358	626.771	104.026	643.571	134.586	225.886	58.083	649.036	114.234	661.071	116.19	231.496	56.005	7.0	0.0
6	4ibZh6HiVrPknUuvasf6CIVD1L42_HS	28290.0	10439.25	369.008	759.34	7.524	16.362	-7.025	16.327	0.048	0.117	-0.051	0.113	0.47	0.964	-0.564	1.29	6.992	18.077	30.0	40.0	16367.232	13.812	18.172	25.0	45195.0	22200.351	491.213	931.434	8.56	18.99	-8.468	19.357	0.066	0.138	-0.063	0.13	0.595	1.134	-0.702	1.554	7.412	17.422	51.0	44.0	32637.368	15.04	20.956	14.0	15.0	62445.0	5677.721	90.924	348.793	1.821	8.191	-1.766	7.986	0.018	0.067	-0.019	0.08	0.166	0.543	-0.178	0.807	8.196	16.856	11.0	25.0	34162.765	9.283	19.285	6.0	4.0	0.0	9139.894	293.651	306.666	5.615	7.504	-5.709	7.401	0.048	0.07	-0.047	0.071	0.4	0.492	-0.504	0.759	3.544	12.871	12.0	38.0	0.589	4.835	4.884	8.263	0.024	0.114	-0.111	0.609	0.0	0.001	-0.001	0.003	0.008	0.036	-0.002	0.009	0.0	0.0	0.0	0.0	1.0	3.755	0.711	6.0	0.0	0.626	0.118	0.626	0.118	0.0	0.0	0.0	0.0	0.0	0.0	67.371	5.379	67.857	9.156	7.911	4.172	0.093	0.019	0.907	0.019	683.714	141.783	642.286	131.008	296.221	129.342	751.086	142.164	704.0	130.826	299.654	126.71	784.286	167.008	794.786	140.498	310.568	135.661	7.0	0.0
7	4ibZh6HiVrPknUuvasf6CIVD1L42_LS	28125.0	9309.389	331.001	680.573	6.785	16.387	-6.42	14.037	0.047	0.099	-0.046	0.106	0.411	0.837	-0.516	1.237	7.061	16.964	38.0	40.0	14318.411	11.501	13.377	25.0	42615.0	22455.374	526.936	1004.379	9.755	21.515	-9.13	21.296	0.07	0.158	-0.07	0.158	0.631	1.171	-0.761	1.834	7.49	17.728	48.0	45.0	24918.058	12.173	14.494	14.0	16.0	58575.0	4574.987	78.105	65.455	1.783	2.279	-1.769	2.344	0.021	0.027	-0.021	0.027	0.169	0.201	-0.208	0.261	9.712	16.677	7.0	12.0	8360.195	2.463	2.068	9.0	4.0	1.0	9124.733	292.741	255.944	5.14	6.572	-5.206	6.374	0.048	0.061	-0.048	0.063	0.396	0.445	-0.487	0.658	2.739	12.138	9.0	26.0	0.779	97.703	42.572	121.065	0.72	3.919	-0.848	2.83	0.008	0.026	-0.007	0.035	0.105	0.353	-0.063	0.269	1.803	6.761	0.0	0.0	1.0	3.609	0.33	6.0	0.0	0.602	0.055	0.602	0.055	0.0	0.0	0.0	0.0	0.0	0.0	66.143	5.241	65.143	5.357	9.17	2.253	0.092	0.01	0.908	0.01	655.714	64.177	715.143	129.886	285.8	95.193	721.857	66.058	784.143	130.241	290.443	97.006	744.643	75.525	756.0	150.459	289.254	131.987	7.0	0.0
8	4p9k0i46VuYQCDpPM8xbX8u9wCu2_HS	24540.0	9680.186	394.466	836.237	9.3	23.253	-9.038	23.863	0.061	0.154	-0.062	0.143	0.558	1.119	-0.743	2.075	9.144	20.268	46.0	40.0	14114.227	12.063	13.889	25.0	31980.0	20710.495	647.608	1204.911	12.702	26.415	-12.051	25.232	0.078	0.172	-0.076	0.164	0.674	1.197	-0.93	2.132	8.178	18.283	34.0	35.0	20946.764	13.918	17.117	14.0	16.0	45390.0	10508.317	231.512	619.026	4.699	14.426	-4.644	14.076	0.041	0.101	-0.039	0.094	0.358	0.738	-0.412	1.196	7.933	17.709	43.0	41.0	8549.688	4.201	3.69	11.0	5.0	0.0	9032.343	290.196	335.041	6.163	9.911	-6.029	8.995	0.05	0.082	-0.049	0.085	0.431	0.622	-0.543	0.948	3.435	13.068	15.0	28.0	0.535	87.952	25.274	26.846	0.451	0.935	-0.433	1.073	0.006	0.013	-0.006	0.012	0.044	0.082	-0.057	0.129	10.709	19.509	0.0	0.0	1.0	2.706	0.433	6.0	0.0	0.451	0.072	0.451	0.072	0.0	0.0	0.0	0.0	0.0	0.0	79.4	5.532	79.143	7.698	11.626	5.385	0.151	0.028	0.849	0.028	461.8	87.796	387.286	100.925	263.168	56.931	541.2	86.519	461.714	100.591	269.478	60.438	577.214	97.266	538.357	136.877	278.232	70.536	7.0	0.0
9	4p9k0i46VuYQCDpPM8xbX8u9wCu2_LS	24060.0	9851.985	409.476	817.343	10.01	22.921	-9.184	19.499	0.06	0.132	-0.061	0.146	0.567	1.23	-0.733	1.662	9.765	19.743	59.0	44.0	18933.297	16.252	18.649	25.0	36570.0	22778.134	622.864	1163.935	11.879	25.077	-10.93	22.131	0.075	0.166	-0.073	0.17	0.657	1.202	-0.824	1.958	8.093	17.02	40.0	45.0	25781.432	16.38	19.384	14.0	17.0	55800.0	11897.664	213.22	610.007	4.163	16.94	-4.213	12.948	0.037	0.081	-0.036	0.107	0.33	0.847	-0.367	1.093	7.128	15.305	33.0	38.0	273548.761	95.948	215.901	11.0	5.0	1.0	9159.474	294.139	272.358	5.99	7.416	-5.923	7.372	0.048	0.063	-0.048	0.061	0.423	0.463	-0.531	0.708	2.192	12.183	9.0	18.0	0.653	16.44	8.431	19.916	0.306	1.122	-0.261	1.088	0.003	0.007	-0.004	0.014	0.025	0.068	-0.039	0.157	4.83	16.85	0.0	0.0	1.0	2.682	0.391	6.0	0.0	0.447	0.065	0.447	0.065	0.0	0.0	0.0	0.0	0.0	0.0	73.029	3.986	75.143	3.943	7.159	2.864	0.139	0.022	0.861	0.022	463.429	78.416	378.143	96.409	294.324	60.149	536.457	78.131	454.143	94.266	293.796	57.557	577.321	83.709	494.786	113.62	311.034	72.328	7.0	0.0
10	5uh8epwAgKZWoPcU94ZXEqe9ImG2_HS	25425.0	9851.776	387.484	713.595	9.155	19.87	-8.697	18.132	0.061	0.12	-0.061	0.132	0.555	0.996	-0.729	1.576	9.069	20.723	58.0	43.0	21881.147	15.902	24.2	25.0	49515.0	33077.492	668.03	1092.928	12.628	24.564	-11.699	21.423	0.087	0.167	-0.087	0.18	0.732	1.208	-0.993	2.112	8.22	18.642	67.0	76.0	60406.539	30.601	53.441	14.0	23.0	47760.0	8361.837	175.08	319.771	3.447	7.111	-3.334	7.11	0.034	0.055	-0.035	0.054	0.286	0.445	-0.333	0.581	8.373	16.989	27.0	30.0	10624.85	4.44	3.554	11.0	6.0	0.0	9272.492	298.199	281.923	5.785	7.28	-6.043	7.731	0.051	0.07	-0.049	0.07	0.415	0.47	-0.53	0.773	4.2	12.621	9.0	32.0	0.648	47.366	8.138	40.714	0.215	1.397	-0.264	1.182	0.002	0.013	-0.002	0.014	0.021	0.086	-0.018	0.137	1.25	8.406	0.0	0.0	1.0	3.653	1.121	6.857	2.1	0.542	0.135	0.527	0.148	0.338	0.829	0.06	0.148	0.429	1.05	74.223	7.242	74.143	9.463	10.967	3.173	0.122	0.029	0.878	0.029	568.878	167.214	500.429	217.879	311.166	85.679	643.101	166.384	576.0	215.854	312.6	87.804	708.764	201.878	672.714	221.444	301.417	80.303	7.0	0.0
11	5uh8epwAgKZWoPcU94ZXEqe9ImG2_LS	22095.0	9432.387	426.901	637.723	7.7	14.054	-7.709	14.856	0.058	0.124	-0.057	0.117	0.506	0.895	-0.599	1.313	9.121	20.499	43.0	34.0	18594.318	15.612	21.442	25.0	32565.0	21941.738	673.783	976.052	10.839	19.321	-10.583	19.266	0.083	0.163	-0.083	0.165	0.696	1.153	-0.9	1.844	8.251	18.373	42.0	37.0	20492.961	11.949	12.579	14.0	16.0	48480.0	6335.619	130.685	111.47	2.465	3.312	-2.439	3.485	0.029	0.039	-0.029	0.037	0.238	0.291	-0.27	0.363	7.32	13.981	16.0	23.0	10129.244	3.728	3.741	11.0	6.0	1.0	9052.177	291.114	223.26	5.362	5.783	-5.498	5.878	0.047	0.052	-0.047	0.052	0.408	0.417	-0.489	0.527	2.757	11.18	9.0	24.0	0.655	155.246	39.503	135.319	0.837	4.261	-0.814	3.337	0.009	0.039	-0.009	0.036	0.085	0.342	-0.077	0.332	4.037	11.459	3.0	1.0	1.0	2.893	0.36	6.0	0.0	0.482	0.06	0.482	0.06	0.0	0.0	0.0	0.0	0.0	0.0	74.0	7.318	71.571	7.613	8.456	2.091	0.129	0.014	0.871	0.014	504.629	68.083	442.0	44.146	238.285	50.46	578.629	71.955	514.143	43.61	241.225	50.37	616.464	86.401	593.786	89.324	249.735	57.343	7.0	0.0
12	6ZROnRQOahWOSqTeZaxHCVK8tak1_HS	25065.0	9356.11	373.274	677.257	8.149	15.938	-7.605	15.898	0.06	0.115	-0.058	0.122	0.512	0.848	-0.651	1.431	8.81	18.636	45.0	42.0	17577.911	14.303	16.292	25.0	30510.0	18752.766	614.643	1131.801	12.01	27.841	-11.802	28.353	0.083	0.207	-0.085	0.206	0.73	1.377	-0.95	2.622	7.796	18.674	37.0	35.0	23741.722	14.424	16.804	14.0	14.0	16320.0	6360.617	389.744	774.641	5.998	13.146	-5.569	13.127	0.048	0.118	-0.047	0.106	0.406	0.811	-0.476	1.212	6.005	16.693	9.0	16.0	6699.664	10.468	14.374	11.0	7.0	0.0	9340.815	300.831	287.393	7.04	8.917	-7.078	8.431	0.054	0.067	-0.054	0.073	0.482	0.536	-0.604	0.814	3.598	15.575	16.0	27.0	0.678	456.197	76.801	180.262	1.811	4.716	-1.757	4.549	0.016	0.039	-0.016	0.035	0.138	0.314	-0.165	0.401	4.397	14.521	6.0	4.0	1.0	3.528	0.654	6.0	0.0	0.588	0.109	0.588	0.109	0.0	0.0	0.0	0.0	0.0	0.0	82.343	8.753	80.571	7.743	12.823	6.713	0.119	0.019	0.881	0.019	623.229	125.71	626.857	162.619	278.97	57.617	705.571	130.772	709.714	177.28	276.261	60.392	746.25	124.479	753.071	130.082	282.94	69.743	7.0	0.0
13	6ZROnRQOahWOSqTeZaxHCVK8tak1_LS	24435.0	8712.406	356.554	679.08	7.939	16.374	-7.475	16.881	0.056	0.125	-0.054	0.122	0.487	0.893	-0.621	1.527	8.985	21.271	49.0	38.0	14650.766	12.395	12.525	25.0	37545.0	23646.268	629.811	1126.984	12.282	26.08	-10.973	24.121	0.078	0.175	-0.081	0.169	0.701	1.294	-0.889	2.086	7.786	17.101	42.0	39.0	26230.875	14.334	23.658	14.0	17.0	16755.0	6783.856	404.885	664.703	6.627	13.701	-5.865	11.334	0.052	0.107	-0.051	0.112	0.436	0.769	-0.53	1.257	6.758	18.176	15.0	16.0	4664.129	7.121	8.919	11.0	7.0	1.0	9219.492	297.355	294.351	6.915	9.598	-6.744	8.805	0.054	0.069	-0.056	0.078	0.481	0.58	-0.612	0.846	3.872	17.053	19.0	31.0	0.633	22.335	8.272	13.168	0.129	0.52	-0.149	0.581	0.002	0.005	-0.002	0.005	0.012	0.04	-0.015	0.061	5.01	15.52	1.0	0.0	1.0	2.971	0.564	6.0	0.0	0.495	0.094	0.495	0.094	0.0	0.0	0.0	0.0	0.0	0.0	96.143	7.433	94.714	8.859	19.285	7.634	0.166	0.022	0.834	0.022	498.086	107.903	409.143	168.134	322.514	126.435	594.229	112.835	514.714	178.195	318.861	122.502	633.893	132.448	526.929	166.525	337.176	159.567	7.0	0.0
14	9DdqeM3mkRWvD4MCMcWvFH4wIhA2_HS	27030.0	10727.642	396.879	824.762	8.863	22.526	-8.606	18.825	0.06	0.139	-0.06	0.161	0.545	1.118	-0.664	1.799	8.755	20.835	54.0	50.0	24303.728	17.714	22.299	25.0	42960.0	30358.543	706.67	1187.384	13.505	25.039	-13.678	25.719	0.094	0.196	-0.09	0.188	0.79	1.367	-1.036	2.234	7.911	18.644	64.0	62.0	40732.784	21.018	35.843	14.0	19.0	58965.0	6969.391	118.195	194.006	2.336	4.711	-2.345	4.438	0.025	0.036	-0.025	0.035	0.208	0.291	-0.24	0.372	12.303	18.826	32.0	30.0	41199.907	10.478	6.005	1.0	8.0	0.0	9203.692	295.986	267.072	5.25	6.193	-5.284	6.533	0.043	0.051	-0.043	0.051	0.37	0.402	-0.444	0.542	3.601	12.536	8.0	28.0	0.666	98.835	20.399	64.794	0.321	1.569	-0.347	1.563	0.005	0.022	-0.005	0.022	0.044	0.169	-0.035	0.185	2.324	10.559	2.0	0.0	1.0	3.034	0.702	6.0	0.0	0.506	0.117	0.506	0.117	0.0	0.0	0.0	0.0	0.0	0.0	95.829	13.399	94.286	15.563	16.801	10.204	0.167	0.045	0.833	0.045	510.971	144.171	483.429	171.953	232.818	82.278	606.8	140.402	574.571	169.957	238.661	77.036	633.75	176.747	619.571	184.326	228.904	92.182	7.0	0.0
15	9DdqeM3mkRWvD4MCMcWvFH4wIhA2_LS	26370.0	11415.474	432.896	841.822	9.336	22.361	-9.212	22.128	0.062	0.17	-0.063	0.181	0.555	1.114	-0.713	2.176	8.428	19.124	58.0	41.0	20722.532	15.965	20.895	25.0	45810.0	27490.719	600.103	1015.761	11.173	23.451	-10.602	21.653	0.079	0.188	-0.079	0.187	0.68	1.311	-0.86	2.123	8.035	18.301	61.0	53.0	28895.688	12.969	16.696	14.0	18.0	59430.0	6337.869	106.644	190.416	2.001	4.259	-2.037	3.653	0.023	0.037	-0.023	0.04	0.181	0.293	-0.22	0.39	13.158	20.619	33.0	31.0	20468.893	5.243	5.435	2.0	8.0	1.0	9382.12	301.724	259.879	5.554	6.831	-5.529	6.701	0.046	0.055	-0.047	0.058	0.406	0.421	-0.482	0.619	3.606	14.386	13.0	27.0	0.707	28.217	8.512	17.411	0.147	0.557	-0.2	0.643	0.003	0.007	-0.002	0.007	0.023	0.052	-0.02	0.068	4.64	14.746	0.0	0.0	1.0	2.952	0.674	6.0	0.0	0.492	0.112	0.492	0.112	0.0	0.0	0.0	0.0	0.0	0.0	92.343	13.849	91.714	12.383	18.573	4.061	0.166	0.051	0.834	0.051	498.086	136.202	459.0	152.19	185.714	29.044	590.429	134.754	556.571	149.253	194.937	29.421	605.679	153.115	574.643	160.475	187.379	44.98	7.0	0.0
